c(t),t
0.1730044586221482,0.725
0.1729698611902823,0.726
0.1729352706772109,0.727
0.1729006870815503,0.728
0.1728661104019172,0.729
0.1728315406369285,0.73
0.1727969777852015,0.731
0.1727624218453537,0.732
0.1727278728160027,0.733
0.1726933306957666,0.734
0.1726587954832639,0.735
0.1726242671771129,0.736
0.1725897457759327,0.737
0.1725552312783423,0.738
0.1725207236829612,0.739
0.1724862229884091,0.74
0.1724517291933059,0.741
0.1724172422962719,0.742
0.1723827622959276,0.743
0.1723482891908938,0.744
0.1723138229797916,0.745
0.1722793636612424,0.746
0.1722449112338677,0.747
0.1722104656962895,0.748
0.17217602704713,0.749
0.1721415952850115,0.75
0.1721071704085569,0.751
0.1720727524163892,0.752
0.1720383413071315,0.753
0.1720039370794076,0.754
0.1719695397318411,0.755
0.1719351492630562,0.756
0.1719007656716774,0.757
0.1718663889563292,0.758
0.1718320191156365,0.759
0.1717976561482247,0.76
0.1717633000527191,0.761
0.1717289508277455,0.762
0.17169460847193,0.763
0.1716602729838989,0.764
0.1716259443622787,0.765
0.1715916226056963,0.766
0.1715573077127789,0.767
0.1715229996821538,0.768
0.1714886985124486,0.769
0.1714544042022915,0.77
0.1714201167503105,0.771
0.1713858361551342,0.772
0.1713515624153914,0.773
0.1713172955297111,0.774
0.1712830354967227,0.775
0.1712487823150557,0.776
0.17121453598334,0.777
0.1711802965002058,0.778
0.1711460638642834,0.779
0.1711118380742037,0.78
0.1710776191285974,0.781
0.171043407026096,0.782
0.1710092017653309,0.783
0.1709750033449339,0.784
0.170940811763537,0.785
0.1709066270197726,0.786
0.1708724491122733,0.787
0.170838278039672,0.788
0.1708041138006019,0.789
0.1707699563936963,0.79
0.170735805817589,0.791
0.170701662070914,0.792
0.1706675251523055,0.793
0.1706333950603979,0.794
0.1705992717938263,0.795
0.1705651553512255,0.796
0.1705310457312309,0.797
0.1704969429324783,0.798
0.1704628469536033,0.799
0.1704287577932423,0.8
0.1703946754500315,0.801
0.1703605999226078,0.802
0.1703265312096082,0.803
0.1702924693096698,0.804
0.1702584142214302,0.805
0.1702243659435272,0.806
0.1701903244745989,0.807
0.1701562898132835,0.808
0.1701222619582198,0.809
0.1700882409080466,0.81
0.170054226661403,0.811
0.1700202192169285,0.812
0.1699862185732629,0.8130000000000001
0.1699522247290459,0.8140000000000001
0.169918237682918,0.8150000000000001
0.1698842574335196,0.8160000000000001
0.1698502839794916,0.8170000000000001
0.1698163173194749,0.8180000000000001
0.169782357452111,0.8190000000000001
0.1697484043760413,0.8200000000000001
0.1697144580899079,0.8210000000000001
0.1696805185923528,0.8220000000000001
0.1696465858820185,0.8230000000000001
0.1696126599575476,0.8240000000000001
0.1695787408175831,0.8250000000000001
0.1695448284607683,0.8260000000000001
0.1695109228857467,0.8270000000000001
0.169477024091162,0.8280000000000001
0.1694431320756583,0.8290000000000001
0.1694092468378799,0.8300000000000001
0.1693753683764714,0.8310000000000001
0.1693414966900777,0.8320000000000001
0.1693076317773438,0.833
0.1692737736369152,0.834
0.1692399222674376,0.835
0.169206077667557,0.836
0.1691722398359194,0.837
0.1691384087711714,0.838
0.1691045844719599,0.839
0.1690707669369317,0.84
0.1690369561647343,0.841
0.1690031521540151,0.842
0.168969354903422,0.843
0.1689355644116031,0.844
0.1689017806772068,0.845
0.1688680036988818,0.846
0.168834233475277,0.847
0.1688004700050415,0.848
0.1687667132868248,0.849
0.1687329633192767,0.85
0.1686992201010472,0.851
0.1686654836307864,0.852
0.1686317539071451,0.853
0.1685980309287739,0.854
0.1685643146943239,0.855
0.1685306052024466,0.856
0.1684969024517936,0.857
0.1684632064410166,0.858
0.1684295171687679,0.859
0.1683958346337,0.86
0.1683621588344654,0.861
0.1683284897697172,0.862
0.1682948274381086,0.863
0.1682611718382932,0.864
0.1682275229689246,0.865
0.168193880828657,0.866
0.1681602454161447,0.867
0.1681266167300421,0.868
0.1680929947690043,0.869
0.1680593795316863,0.87
0.1680257710167434,0.871
0.1679921692228315,0.872
0.1679585741486063,0.873
0.1679249857927242,0.874
0.1678914041538415,0.875
0.1678578292306149,0.876
0.1678242610217016,0.877
0.1677906995257587,0.878
0.1677571447414438,0.879
0.1677235966674148,0.88
0.1676900553023296,0.881
0.1676565206448467,0.882
0.1676229926936246,0.883
0.1675894714473222,0.884
0.1675559569045988,0.885
0.1675224490641136,0.886
0.1674889479245264,0.887
0.1674554534844971,0.888
0.167421965742686,0.889
0.1673884846977536,0.89
0.1673550103483606,0.891
0.167321542693168,0.892
0.1672880817308371,0.893
0.1672546274600295,0.894
0.1672211798794071,0.895
0.1671877389876318,0.896
0.1671543047833662,0.897
0.1671208772652728,0.898
0.1670874564320144,0.899
0.1670540422822544,0.9
0.1670206348146561,0.901
0.1669872340278831,0.902
0.1669538399205996,0.903
0.1669204524914697,0.904
0.1668870717391579,0.905
0.166853697662329,0.906
0.166820330259648,0.907
0.1667869695297803,0.908
0.1667536154713913,0.909
0.166720268083147,0.91
0.1666869273637135,0.911
0.1666535933117571,0.912
0.1666202659259444,0.913
0.1665869452049423,0.914
0.1665536311474182,0.915
0.1665203237520393,0.916
0.1664870230174733,0.917
0.1664537289423883,0.918
0.1664204415254525,0.919
0.1663871607653343,0.92
0.1663538866607026,0.921
0.1663206192102264,0.922
0.166287358412575,0.923
0.1662541042664179,0.924
0.1662208567704251,0.925
0.1661876159232665,0.926
0.1661543817236126,0.927
0.166121154170134,0.928
0.1660879332615016,0.929
0.1660547189963865,0.93
0.1660215113734602,0.931
0.1659883103913944,0.932
0.165955116048861,0.933
0.1659219283445323,0.934
0.1658887472770808,0.935
0.1658555728451791,0.936
0.1658224050475004,0.937
0.1657892438827179,0.9380000000000001
0.1657560893495052,0.9390000000000001
0.1657229414465361,0.9400000000000001
0.1656898001724847,0.9410000000000001
0.1656566655260253,0.9420000000000001
0.1656235375058325,0.9430000000000001
0.1655904161105813,0.9440000000000001
0.1655573013389467,0.9450000000000001
0.1655241931896042,0.9460000000000001
0.1654910916612295,0.9470000000000001
0.1654579967524984,0.9480000000000001
0.1654249084620872,0.9490000000000001
0.1653918267886724,0.9500000000000001
0.1653587517309307,0.9510000000000001
0.1653256832875391,0.9520000000000001
0.1652926214571748,0.9530000000000001
0.1652595662385154,0.9540000000000001
0.1652265176302387,0.9550000000000001
0.1651934756310228,0.9560000000000001
0.1651604402395458,0.9570000000000001
0.1651274114544865,0.9580000000000001
0.1650943892745237,0.9590000000000001
0.1650613736983364,0.96
